"regiao","tipo","num_anuncios","preco_medio"
"rio branco","casa","20","311477.40"
"rio comprido","apartamento","2","440000.00"
"rio dos sinos","apartamento","30","203533.33"
"rio dos sinos","casa","14","344529.00"
"rocha","apartamento","2","160000.00"
"rocha","casa","2","900000.00"
"rondonia","apartamento","38","201131.58"
"rondonia","casa","10","399000.00"
"rondonia ","apartamento","2","430000.00"
"rubem berta","apartamento","6","203000.00"
"rubem berta","casa","4","207500.00"
"rudge ramos","apartamento","6","470000.00"
"sacoma","apartamento","6","306666.67"
"sacoma","casa","2","285000.00"
"sagrada familia","apartamento","16","550625.00"
"sagrada familia","casa","2","695000.00"
"salgado filho","apartamento","2","395000.00"
"sampaio","casa","2","240000.00"
"santa amelia","apartamento","6","318333.33"
"santa branca","apartamento","2","245000.00"
"santa branca","casa","2","680000.00"
"santa cruz","apartamento","6","556666.67"
"santa cruz industrial","apartamento","8","398750.00"
"santa efigenia","apartamento","4","490000.00"
"santa ifigenia","apartamento","2","310000.00"
"santa lucia","apartamento","4","589000.00"
"santa maria","apartamento","33","283872.12"
"santa maria","casa","8","343750.00"
"santa monica","apartamento","2","350000.00"
"santa monica","casa","4","282500.00"
"santana","apartamento","2","380000.00"
"santa rosa","apartamento","72","433625.00"
"santa rosa","casa","8","420000.00"
"santa rosa ","apartamento","2","485000.00"
"santa rosa de lima","casa","2","290000.00"
"santa teresa","apartamento","6","404000.00"
"santa teresa","casa","8","290750.00"
"santa tereza","apartamento","14","211714.29"
"santa tereza","casa","4","187500.00"
"santa terezinha","apartamento","49","264491.39"
"santa terezinha","casa","2","584000.00"
